file_name,text
-1OlgJWehn8.png,"instrumental, white noise, female vocalisation, three unrelated tracks, electric guitar harmony, bass guitar, keyboard harmony, female lead vocalisation, keyboard harmony, slick drumming, boomy bass drops, male voice backup vocalisation"
-0Gj8-vB1q4.png,"low quality, sustained strings melody, soft female vocal, mellow piano melody, sad, soulful, ballad"
-1UWSisR2zo.png,"live performance, poor audio quality, ambient noises, school dance program, crowd noise, high gain volume, hissing tones, medium tempo, techno dance song, male singer, groovy bass line, techno dance rhythm, keyboard accompaniment, kids dancing, noisy crowds, home video, school program, noise"
-3Kv4fdm7Uk.png,"steeldrum, higher register, amateur recording"
-4NLarMj4xU.png,"pop, tinny wide hi hats, mellow piano melody, high pitched female vocal melody, sustained pulsating synth lead, soft female vocal, punchy kick, sustained synth bass, claps, emotional, sad, passionate"
-4SYC2YgzL8.png,"solo live direct input acoustic guitar strumming, airy suspended open chords, low fidelity, ambient sounds, paper shuffling"
-0SdAVK79lg.png,"guitar song, piano backing, simple percussion, relaxing melody, slow tempo, bass, country feel, instrumental, no voice"
-0vPFx-wRRI.png,"amateur recording, finger snipping, male mid range voice singing, reverb"
-0xzrMun0Rs.png,"backing track, jazzy, digital drums, piano, e-bass, trumpet, acoustic guitar, digital keyboard song, medium tempo"
-1LrH01Ei1w.png,"rubab instrument, repetitive melody on different octaves, no other instruments, plucked string instrument, no voice, instrumental, fast tempo"
