file_name,text
P4aTFrJws40.png,"soap opera music, no singer, instrumental, piano, strings, melancholic, emotional, downcast"
-0Gj8-vB1q4.png,"low quality, sustained strings melody, soft female vocal, mellow piano melody, sad, soulful, ballad"
P4zWSoib5BU.png,"amateur recording, blues, male deeper voice speaking, acoustic guitar, harmonica, slow tempo"
P54hbuQLkc4.png,"low quality, foley effects, metallic impact sounds, wooden impact sounds, screeching sound effect, intense orchestra music"
-0SdAVK79lg.png,"guitar song, piano backing, simple percussion, relaxing melody, slow tempo, bass, country feel, instrumental, no voice"
P5AgEqouchI.png,"low quality, noisy, mono, theremin solo melody, sustained strings melody, playback, sad, emotional, heartfelt"
-0vPFx-wRRI.png,"amateur recording, finger snipping, male mid range voice singing, reverb"
P5IxlG4-CY8.png,"latin/country, maracas, acoustic guitar, fast tempo, amateur recording"
-0xzrMun0Rs.png,"backing track, jazzy, digital drums, piano, e-bass, trumpet, acoustic guitar, digital keyboard song, medium tempo"
-1LrH01Ei1w.png,"rubab instrument, repetitive melody on different octaves, no other instruments, plucked string instrument, no voice, instrumental, fast tempo"
P5tsRM1iokA.png,"folk/county, amateur recording, backing track, slide guitar, slow tempo, relaxing"
-1OlgJWehn8.png,"instrumental, white noise, female vocalisation, three unrelated tracks, electric guitar harmony, bass guitar, keyboard harmony, female lead vocalisation, keyboard harmony, slick drumming, boomy bass drops, male voice backup vocalisation"
P5uIpVLEpm4.png,"instrumental, fast tempo, electric guitar, rock, hard rock, metal, heavy metalloud feed back, amplified, sonic power, intense, passionate, loud feedback, heavy metal, death metal, aggressive, passionate, stringed instrument"
-1UWSisR2zo.png,"live performance, poor audio quality, ambient noises, school dance program, crowd noise, high gain volume, hissing tones, medium tempo, techno dance song, male singer, groovy bass line, techno dance rhythm, keyboard accompaniment, kids dancing, noisy crowds, home video, school program, noise"
P65yE_EXLd8.png,"duet, slow tempo, piano harmony, vocal backup, expressive, receptive language, rhyming, descriptive words, listening and learning, chimes, synthesiser arrangement, children music, nursery rhyme, rock, scissors paper, simple, catchy, learning for kids, animated, hand percussion"
-3Kv4fdm7Uk.png,"steeldrum, higher register, amateur recording"
P8nK4i8XscM.png,"video game theme, mashup, male vocal, female vocal, automation-like singing, synth, electronic drums, sound effects, funny, comedic, sarcastic, bizarre"
-4NLarMj4xU.png,"pop, tinny wide hi hats, mellow piano melody, high pitched female vocal melody, sustained pulsating synth lead, soft female vocal, punchy kick, sustained synth bass, claps, emotional, sad, passionate"
